Elect_div	State	yes_count	yes_percent	no_count	no_percent	total
Banks	NSW	37736	44.9	46343	55.1	84079
Barton	NSW	37153	43.6	47984	56.4	85137
Bennelong	NSW	42943	49.8	43215	50.2	86158
Berowra	NSW	48471	54.6	40369	45.4	88840
Blaxland	NSW	20406	26.1	57926	73.9	78332
Bradfield	NSW	53681	60.6	34927	39.4	88608
Calare	NSW	54091	60.2	35779	39.8	89870
Chifley	NSW	32871	41.3	46702	58.7	79573
Cook	NSW	47505	55	38804	45	86309
Cowper	NSW	57493	60	38317	40	95810
Cunningham	NSW	60906	65.7	31840	34.3	92746
Dobell	NSW	59475	65.7	30987	34.3	90462
Eden-Monaro	NSW	57223	64.9	30926	35.1	88149
Farrer	NSW	48432	55.2	39297	44.8	87729
Fowler	NSW	27847	36.3	48782	63.7	76629
Gilmore	NSW	59322	62	36386	38	95708
Grayndler	NSW	73208	79.9	18429	20.1	91637
Greenway	NSW	38016	46.4	43980	53.6	81996
Hughes	NSW	51337	58.4	36558	41.6	87895
Hume	NSW	51284	58.6	36271	41.4	87555
Hunter	NSW	59137	64.4	32723	35.6	91860
Kingsford Smith	NSW	56297	64.1	31510	35.9	87807
Lindsay	NSW	49071	56.2	38295	43.8	87366
Lyne	NSW	51416	55.3	41539	44.7	92955
Macarthur	NSW	43323	52.1	39907	47.9	83230
Mackellar	NSW	62350	68	29330	32	91680
Macquarie	NSW	56180	63.9	31778	36.1	87958
McMahon	NSW	29146	35.1	53967	64.9	83113
Mitchell	NSW	42112	49.1	43652	50.9	85764
Newcastle	NSW	71158	74.8	23999	25.2	95157
New England	NSW	44608	52.5	40324	47.5	84932
North Sydney	NSW	64813	71.8	25473	28.2	90286
Page	NSW	55943	59.7	37727	40.3	93670
Parkes	NSW	41408	52.7	37108	47.3	78516
Parramatta	NSW	29299	38.4	47038	61.6	76337
Paterson	NSW	60915	65.5	32059	34.5	92974
Reid	NSW	43567	52.7	39061	47.3	82628
Richmond	NSW	62591	67.9	29625	32.1	92216
Riverina	NSW	47333	54.6	39308	45.4	86641
Robertson	NSW	58689	65.7	30614	34.3	89303
Shortland	NSW	62455	67.7	29836	32.3	92291
Sydney	NSW	76144	83.7	14860	16.3	91004
Warringah	NSW	64999	75	21660	25	86659
Watson	NSW	24915	30.4	57160	69.6	82075
Wentworth	NSW	69279	80.8	16410	19.2	85689
Werriwa	NSW	30252	36.3	53174	63.7	83426
Whitlam	NSW	57562	62.3	34879	37.7	92441
Aston	VIC	48455	62	29730	38	78185
Ballarat	VIC	65613	70.5	27405	29.5	93018
Batman	VIC	66383	71.2	26906	28.8	93289
Bendigo	VIC	63412	68.7	28852	31.3	92264
Bruce	VIC	34644	46.9	39203	53.1	73847
Calwell	VIC	37839	43.2	49823	56.8	87662
Casey	VIC	59959	68.1	28144	31.9	88103
Chisholm	VIC	49448	61.6	30844	38.4	80292
Corangamite	VIC	69723	71.6	27708	28.4	97431
Corio	VIC	62658	67.7	29865	32.3	92523
Deakin	VIC	55464	65.7	28973	34.3	84437
Dunkley	VIC	62840	72	24471	28	87311
Flinders	VIC	68291	70	29275	30	97566
Gellibrand	VIC	62045	68.1	29065	31.9	91110
Gippsland	VIC	51196	60.2	33910	39.8	85106
Goldstein	VIC	69726	76.3	21663	23.7	91389
Gorton	VIC	49834	53.3	43587	46.7	93421
Higgins	VIC	70059	78.3	19375	21.7	89434
Holt	VIC	47147	50.7	45875	49.3	93022
Hotham	VIC	47986	59.6	32524	40.4	80510
Indi	VIC	54563	63.1	31925	36.9	86488
Isaacs	VIC	56645	65.3	30063	34.7	86708
Jagajaga	VIC	65098	73.5	23453	26.5	88551
Kooyong	VIC	63592	73.7	22729	26.3	86321
Lalor	VIC	57062	56.8	43429	43.2	100491
La Trobe	VIC	61807	67.5	29826	32.5	91633
Mallee	VIC	42495	54.3	35795	45.7	78290
Maribyrnong	VIC	53208	59.9	35658	40.1	88866
McEwen	VIC	73705	65.4	39007	34.6	112712
McMillan	VIC	61479	62.7	36500	37.3	97979
Melbourne	VIC	81287	83.7	15839	16.3	97126
Melbourne Ports	VIC	70589	82	15523	18	86112
Menzies	VIC	47137	57	35626	43	82763
Murray	VIC	48205	57.6	35452	42.4	83657
Scullin	VIC	48245	53.4	42147	46.6	90392
Wannon	VIC	49340	61	31529	39	80869
Wills	VIC	68450	70	29399	30	97849
Blair	QLD	47194	60	31433	40	78627
Bonner	QLD	52139	62	31891	38	84030
Bowman	QLD	53529	62.1	32627	37.9	86156
Brisbane	QLD	72812	79.5	18762	20.5	91574
Capricornia	QLD	39917	54.1	33917	45.9	73834
Dawson	QLD	42539	55.1	34599	44.9	77138
Dickson	QLD	54206	65.2	28988	34.8	83194
Fadden	QLD	52154	61.8	32218	38.2	84372
Fairfax	QLD	58510	64.3	32451	35.7	90961
Fisher	QLD	52023	62.8	30783	37.2	82806
Flynn	QLD	39020	51.5	36783	48.5	75803
Forde	QLD	46937	60.5	30585	39.5	77522
Griffith	QLD	69171	76.6	21132	23.4	90303
Groom	QLD	40536	49.2	41915	50.8	82451
Herbert	QLD	48110	62.8	28441	37.2	76551
Hinkler	QLD	40649	50.7	39548	49.3	80197
Kennedy	QLD	33160	46.7	37784	53.3	70944
Leichhardt	QLD	47750	63.4	27606	36.6	75356
Lilley	QLD	59991	67.7	28671	32.3	88662
Longman	QLD	51268	60.4	33576	39.6	84844
Maranoa	QLD	35475	43.9	45308	56.1	80783
McPherson	QLD	54034	65.5	28486	34.5	82520
Moncrieff	QLD	50566	63.8	28717	36.2	79283
Moreton	QLD	47418	60.9	30413	39.1	77831
Oxley	QLD	44655	60.3	29365	39.7	74020
Petrie	QLD	53144	61.6	33067	38.4	86211
Rankin	QLD	41570	54.6	34621	45.4	76191
Ryan	QLD	64967	72.7	24451	27.3	89418
Wide Bay	QLD	46507	55.6	37065	44.4	83572
Wright	QLD	47109	56.8	35812	43.2	82921
Adelaide	SA	62769	70.1	26771	29.9	89540
Barker	SA	42498	52.3	38827	47.7	81325
Boothby	SA	62139	68.5	28556	31.5	90695
Grey	SA	40811	53.3	35750	46.7	76561
Hindmarsh	SA	57947	63.3	33613	36.7	91560
